,,,,,,,,,,,,,
,97,Journal Entry Upload JS,Translate,View,For accounting and finance journal entry upload,Journal Entry,Jennifer Spivey,5/13/2021 2:05 pm,10/18/2022 4:45 pm,custimport_je_upload_js1, ,Public,
,94,Journal Entry Upload,Translate,View,For accounting and finance journal entry upload,Journal Entry,Phillip Duggan,5/7/2021 2:58 pm,10/18/2022 4:45 pm,custimport_je_upload_js, ,Private,
,88,ISN Customer Test,Translate,View,ISN Customer Test,Customers Only,Jennifer Spivey,11/23/2020 11:57 am,10/18/2022 4:45 pm,custimport_isn_cust_test_js, ,Private,
,105,Single InterCo JE,Translate,View,Cash transfer between subsidiaries.,Journal Entry,Jennifer Spivey,6/3/2021 3:51 pm,10/18/2022 4:45 pm,custimport_interco_je_aa, ,Public,
,114,DO NOT MODIFY: Standard Journal CSV Integration,Translate,View,For CSV uploader.,Journal Entry,NetSuite Integration,9/15/2021 4:18 pm,10/18/2022 4:45 pm,custimport_csv_broker_std_je, ,Shared,
,113,DO NOT MODIFY - One Way Journal CSV Importer,Translate,View,For CSV uploader.,Journal Entry,NetSuite Integration,9/15/2021 4:18 pm,10/18/2022 4:45 pm,custimport_csv_broker_one_way_je, ,Shared,
,115,DO NOT MODIFY: CSV Broker Header Mappings,Translate,View,CSV Broker mappings between the header of a CSV import to a Saved CSV Import.,Custom Record,NetSuite Integration,10/6/2021 4:26 pm,10/18/2022 4:45 pm,custimport_csv_broker_header_mapping, ,Shared,
,112,DO NOT MODIFY: Advance Journal Entry CSV Importer,Translate,View,For CSV Uploader.,Advanced Intercompany Journal Entry,NetSuite Integration,9/15/2021 4:18 pm,10/18/2022 4:45 pm,custimport_csv_broker_adv_je, ,Shared,
,82,COA - EXTERNAL ID UPDATE,Translate,View,Update External ID to match Account Number,Chart of Accounts,Jennifer Spivey,8/12/2020 2:16 pm,10/18/2022 4:45 pm,custimport_82_4205447_566, ,Public,
,81,Open Vendor Bills (Open AP) -= UPDATED,Translate,View,Modified import mapping for cut-over activity (FIXED TO PORCH AND JULY 2020),Vendor Bill,Marty Lewandowski,7/8/2020 2:51 pm,10/18/2022 4:45 pm,custimport_81_4205447_276, ,Private,
,70,"Standard JE Template, final",Translate,View, ,Journal Entry,Katrina Mahler,5/28/2020 1:41 pm,10/18/2022 4:45 pm,custimport_70_4205447_661, ,Private,
,69,Standard JE Template_KM,Translate,View,Historical Journal Mapped by Names (Sub/Dept/Bus Unit),Journal Entry,Katrina Mahler,5/28/2020 1:15 pm,10/18/2022 4:45 pm,custimport_69_4205447_523, ,Private,
,66,Department Update,Translate,View, ,Department,James McManus,5/13/2020 10:08 am,10/18/2022 4:45 pm,custimport_66_4205447_880, ,Public,
,22,Service For Purchase Item Import Mapping,Translate,View,FF Starter - Use this mapping to import service for purchase items.,Service Item for Purchase,Cathy Kuang,2/4/2020 1:31 pm,10/18/2022 4:45 pm,custimport_5_4866942_897,281353,Public,
,59,Update Primary Contacts,Translate,View, ,Customers Only,Jesse Siegelman,3/30/2020 11:56 am,10/18/2022 4:45 pm,custimport_59_4205447_433, ,Private,
,58,Primary Contact Update,Translate,View, ,Customers Only,Jesse Siegelman,3/30/2020 11:40 am,10/18/2022 4:45 pm,custimport_58_4205447_505, ,Private,
,57,Contacts Import,Translate,View, ,Contacts Only,Jesse Siegelman,3/27/2020 6:08 pm,10/18/2022 4:45 pm,custimport_57_4205447_142, ,Private,
,56,Porch Customers,Translate,View, ,Customers Only,Jesse Siegelman,3/27/2020 8:04 am,10/18/2022 4:45 pm,custimport_56_4205447_783, ,Private,
,55,Journal Entry Import,Translate,View,Historical Journal Mapped by Names (Sub/Dept/Bus Unit),Journal Entry,Jennifer Spivey,3/24/2020 10:18 am,10/18/2022 4:45 pm,custimport_55_4205447_187, ,Public,
,53,Cash Sale - Settlements,Translate,View,Cash Sale Import - Settlement Import from Sales data,Cash Sale,Jennifer Spivey,3/12/2020 3:54 pm,10/18/2022 4:45 pm,custimport_53_4205447_256, ,Public,
,52,Customers,Translate,View, ,Customers Only,Cathy Kuang,3/6/2020 1:56 pm,10/18/2022 4:45 pm,custimport_52_4205447_660, ,Public,
,51,Porch | Vendors Import Template - Single Address,Translate,View, ,Vendors,Jesse Groff,3/6/2020 1:47 pm,10/18/2022 4:45 pm,custimport_50_4205447_262_1, ,Private,
,49,Service Items for Sale,Translate,View, ,Service Item for Sale,Cathy Kuang,3/6/2020 8:14 am,10/18/2022 4:45 pm,custimport_49_4205447_390, ,Public,
,48,Employees,Translate,View, ,Employees,Cathy Kuang,3/5/2020 2:47 pm,10/18/2022 4:45 pm,custimport_48_4205447_345, ,Public,
,45,Classes/Business Units 2,Translate,View, ,Class,Cathy Kuang,2/28/2020 9:29 am,10/18/2022 4:45 pm,custimport_45_4205447_748, ,Public,
,44,Classes/Business Units,Translate,View, ,Class,Cathy Kuang,2/28/2020 9:27 am,10/18/2022 4:45 pm,custimport_44_4205447_847, ,Private,
,5,Trial Balance at Go-Live (Consol.) Import Mapping,Translate,View,FF Starter - Use this mapping to import this year's trial balance by month up to go-live date.,Journal Entry,Cathy Kuang,2/4/2020 1:31 pm,10/18/2022 4:45 pm,custimport_2_4866942_897,281353,Private,
,29,PT Taxonomy Codes M template.csv,Translate,View, ,Custom Record,Cathy Kuang,2/4/2020 2:24 pm,10/18/2022 4:45 pm,custimport_2_3838944_897,47492,Private,
,20,Chart of Accounts Import Mapping,Translate,View,FF Starter - Use this mapping to import the chart of accounts.,Chart of Accounts,Cathy Kuang,2/4/2020 1:31 pm,10/18/2022 4:45 pm,custimport_27_4866942_897,281353,Public,
,23,Class Import Mapping,Translate,View,FF Starter - Use this mapping to import class segments.,Class,Cathy Kuang,2/4/2020 1:31 pm,10/18/2022 4:45 pm,custimport_26_4866942_897,281353,Public,
,21,Department Import Mapping,Translate,View,FF Starter - Use this mapping to import department segments.,Department,Cathy Kuang,2/4/2020 1:31 pm,10/18/2022 4:45 pm,custimport_23_4866942_897,281353,Public,
,16,Discount Item Import Mapping,Translate,View,FF Starter - Use this mapping to import discount items.,Discount Item,Cathy Kuang,2/4/2020 1:31 pm,10/18/2022 4:45 pm,custimport_22_4866942_897,281353,Public,
,12,Historical Trial Balance (Consol.) Import Mapping,Translate,View,FF Starter - Use this mapping to import trial balance by month for previous year(s).,Journal Entry,Cathy Kuang,2/4/2020 1:31 pm,10/18/2022 4:45 pm,custimport_20_4866942_897,281353,Private,
,28,PT Taxonomy Codes S template.csv,Translate,View, ,Custom Record,Cathy Kuang,2/4/2020 2:24 pm,10/18/2022 4:45 pm,custimport_1_3838944_897,47492,Private,
,4,Journal Entry Import Mapping,Translate,View,FF Starter - Use this mapping to import journal entries.,Journal Entry,Cathy Kuang,2/4/2020 1:31 pm,10/18/2022 4:45 pm,custimport_18_4866942_897,281353,Private,
